,inflation_yoy,industrial_growth_yoy,fed_funds_change_yoy,unemployment_change_yoy,ten_year_yield_change_yoy,recession_target
1999-06-01,1.9656019656019597,4.826418688874012,-0.7999999999999998,-0.20000000000000018,0.4031818181818183,0.0
1999-07-01,2.1446078431372584,5.839978413843561,-0.5499999999999998,-0.20000000000000018,0.33054112554112525,0.0
1999-08-01,2.2643818849449104,4.109544569149426,-0.47999999999999954,-0.2999999999999998,0.5971861471861466,0.0
1999-09-01,2.629969418960254,3.7444563415508503,-0.29000000000000004,-0.39999999999999947,1.1085714285714285,0.0
1999-10-01,2.56253813300793,4.29950432876991,0.1299999999999999,-0.40000000000000036,1.5820000000000007,0.0
1999-11-01,2.6203534430225606,4.884601547870515,0.5899999999999999,-0.3000000000000007,1.206631578947368,0.0
1999-12-01,2.676399026763998,5.216917187508963,0.6200000000000001,-0.40000000000000036,1.6304545454545458,0.0
2000-01-01,2.792956891317555,4.620955049951481,0.8200000000000003,-0.2999999999999998,1.938894736842105,0.0
2000-02-01,3.2179720704310855,4.313335681097841,0.9700000000000006,-0.3000000000000007,1.520552631578946,0.0
2000-03-01,3.762135922330101,4.447293166354416,1.04,-0.20000000000000018,1.0239130434782613,0.0
2000-04-01,3.013863773357439,4.828026846244748,1.2799999999999994,-0.5,0.8059808612440191,1.0
2000-05-01,3.1325301204819134,4.451469064576807,1.5299999999999994,-0.20000000000000018,0.900954545454546,1.0
2000-06-01,3.7349397590361377,4.574285752844154,1.7700000000000005,-0.2999999999999998,0.1977272727272732,1.0
2000-07-01,3.5992801439711952,3.7698485910728996,1.5499999999999998,-0.2999999999999998,0.26209523809523816,1.0
2000-08-01,3.3512866546977715,3.0734226950164922,1.4299999999999997,-0.10000000000000053,-0.11300395256916929,1.0
2000-09-01,3.45649582836709,3.968806853188922,1.2999999999999998,-0.30000000000000027,-0.11623809523809481,1.0
2000-10-01,3.4503271861986873,2.3142184859096693,1.3099999999999996,-0.19999999999999973,-0.37342857142857167,1.0
2000-11-01,3.444180522565321,1.8491278756576968,1.0899999999999999,-0.19999999999999973,-0.3168571428571427,1.0
2000-12-01,3.4360189573459543,0.7397718173229428,1.1000000000000005,-0.10000000000000009,-1.0349545454545455,0.0
2001-01-01,3.7212049616065945,0.3976490637767949,0.5300000000000002,0.20000000000000018,-1.5000476190476189,0.0
2001-02-01,3.529411764705892,-0.5668458865284554,-0.2400000000000002,0.10000000000000053,-1.4205526315789463,0.0
2001-03-01,2.9824561403508643,-1.122295725249156,-0.54,0.2999999999999998,-1.3710671936758896,0.0
2001-04-01,3.2182562902282053,-2.0602186217959284,-1.2199999999999998,0.6000000000000005,-0.8495263157894737,0.0
2001-05-01,3.5630841121495394,-2.791181055600911,-2.0599999999999996,0.2999999999999998,-1.0490909090909089,0.0
2001-06-01,3.193960511033689,-3.3422163718917375,-2.56,0.5,-0.8129870129870138,0.0
2001-07-01,2.7214823393167498,-3.773511714911293,-2.77,0.5999999999999996,-0.8178095238095233,0.0
2001-08-01,2.7214823393167498,-3.6215277665228585,-2.85,0.8000000000000007,-0.8547826086956523,0.0
2001-09-01,2.5921658986175045,-4.55015745457048,-3.4499999999999997,1.1,-1.0672352941176477,0.0
2001-10-01,2.127659574468077,-4.440502321905382,-4.02,1.4,-1.171753246753247,0.0
2001-11-01,1.894374282433997,-5.044913960783126,-4.42,1.6,-1.0656428571428567,0.0
2001-12-01,1.603665521191311,-4.774776238202749,-4.58,1.8000000000000003,-0.15299999999999958,0.0
2002-01-01,1.1958997722095743,-3.682618441383212,-4.25,1.5,-0.12523809523809515,0.0
2002-02-01,1.1363636363636465,-3.0399744149724905,-3.75,1.5,-0.18736842105263207,0.0
2002-03-01,1.3628620102214661,-2.1374903694403535,-3.5799999999999996,1.4000000000000004,0.398545454545455,0.0
2002-04-01,1.643990929705219,-1.3053329089064758,-3.05,1.5,0.06990909090909092,0.0
2002-05-01,1.2408347433727984,-0.43328851038398897,-2.46,1.5,-0.22681818181818159,0.0
2002-06-01,1.0692177827799743,0.920910919642548,-2.22,1.2999999999999998,-0.35778571428571393,0.0
2002-07-01,1.465614430665152,1.5386975548359105,-2.04,1.2000000000000002,-0.5830086580086586,0.0
2002-08-01,1.747463359639223,1.5424836015125454,-1.91,0.7999999999999998,-0.7140316205533601,0.0
